DRG Code,DRG Definition,HRR State,HHR Region,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Row,Column,Region,Divison,State,Region Rank,Divison Rank
292,HEART FAILURE & SHOCK W CC,GA,Atlanta,GA - Atlanta,50,35467.32,7986.3,4968.2,6,7,South,South Atlantic,Georgia,3,5
292,HEART FAILURE & SHOCK W CC,GA,Atlanta,GA - Atlanta,43,45256.23,6131.21,5350.28,6,7,South,South Atlantic,Georgia,3,5
292,HEART FAILURE & SHOCK W CC,GA,Macon,GA - Macon,13,34608.0,5364.69,4883.46,6,7,South,South Atlantic,Georgia,3,5
292,HEART FAILURE & SHOCK W CC,GA,Atlanta,GA - Atlanta,14,15630.57,6145.07,5303.64,6,7,South,South Atlantic,Georgia,3,5
292,HEART FAILURE & SHOCK W CC,GA,Atlanta,GA - Atlanta,79,19977.3,6170.76,4935.08,6,7,South,South Atlantic,Georgia,3,5
292,HEART FAILURE & SHOCK W CC,GA,Atlanta,GA - Atlanta,22,25726.59,5991.64,5478.18,6,7,South,South Atlantic,Georgia,3,5
292,HEART FAILURE & SHOCK W CC,GA,Atlanta,GA - Atlanta,52,16164.37,6261.96,5353.04,6,7,South,South Atlantic,Georgia,3,5
292,HEART FAILURE & SHOCK W CC,GA,Atlanta,GA - Atlanta,73,23381.29,6460.0,5123.6,6,7,South,South Atlantic,Georgia,3,5
292,HEART FAILURE & SHOCK W CC,GA,Atlanta,GA - Atlanta,66,16360.41,5398.26,4547.17,6,7,South,South Atlantic,Georgia,3,5
292,HEART FAILURE & SHOCK W CC,HI,Honolulu,HI - Honolulu,148,23388.04,10970.72,8785.97,8,1,West,Pacific,Hawaii,4,9
292,HEART FAILURE & SHOCK W CC,HI,Honolulu,HI - Honolulu,40,27326.78,12953.93,12113.33,8,1,West,Pacific,Hawaii,4,9
292,HEART FAILURE & SHOCK W CC,HI,Honolulu,HI - Honolulu,12,20262.5,9858.58,7600.5,8,1,West,Pacific,Hawaii,4,9
292,HEART FAILURE & SHOCK W CC,HI,Honolulu,HI - Honolulu,48,20678.06,10121.29,9212.63,8,1,West,Pacific,Hawaii,4,9
292,HEART FAILURE & SHOCK W CC,HI,Honolulu,HI - Honolulu,18,25059.72,8841.61,8214.06,8,1,West,Pacific,Hawaii,4,9
292,HEART FAILURE & SHOCK W CC,HI,Honolulu,HI - Honolulu,29,22528.45,7670.59,6759.45,8,1,West,Pacific,Hawaii,4,9
292,HEART FAILURE & SHOCK W CC,HI,Honolulu,HI - Honolulu,11,14254.91,9189.64,5057.82,8,1,West,Pacific,Hawaii,4,9
292,HEART FAILURE & SHOCK W CC,HI,Honolulu,HI - Honolulu,34,32808.88,10499.88,8826.88,8,1,West,Pacific,Hawaii,4,9
292,HEART FAILURE & SHOCK W CC,HI,Honolulu,HI - Honolulu,14,19809.0,13070.43,12449.86,8,1,West,Pacific,Hawaii,4,9
292,HEART FAILURE & SHOCK W CC,HI,Honolulu,HI - Honolulu,45,31298.76,8375.04,7433.0,8,1,West,Pacific,Hawaii,4,9
292,HEART FAILURE & SHOCK W CC,HI,Honolulu,HI - Honolulu,35,28825.4,10917.31,6382.11,8,1,West,Pacific,Hawaii,4,9
292,HEART FAILURE & SHOCK W CC,ID,Boise,ID - Boise,53,17199.02,5941.09,5155.77,2,3,West,Mountain,Idaho,4,8
292,HEART FAILURE & SHOCK W CC,WA,Spokane,WA - Spokane,27,25722.37,7314.37,5939.81,2,2,West,Pacific,Washington,4,9
292,HEART FAILURE & SHOCK W CC,ID,Boise,ID - Boise,92,27696.53,7003.51,5944.3,2,3,West,Mountain,Idaho,4,8
292,HEART FAILURE & SHOCK W CC,ID,Boise,ID - Boise,33,20501.24,6570.76,5666.73,2,3,West,Mountain,Idaho,4,8
292,HEART FAILURE & SHOCK W CC,ID,Boise,ID - Boise,18,21614.17,6037.17,5484.5,2,3,West,Mountain,Idaho,4,8
292,HEART FAILURE & SHOCK W CC,ID,Boise,ID - Boise,16,25776.38,6449.19,5748.69,2,3,West,Mountain,Idaho,4,8
292,HEART FAILURE & SHOCK W CC,ID,Idaho Falls,ID - Idaho Falls,40,25071.08,6402.85,5434.05,2,3,West,Mountain,Idaho,4,8
292,HEART FAILURE & SHOCK W CC,UT,Salt Lake City,UT - Salt Lake City,28,23792.11,7898.32,6863.54,3,3,West,Mountain,Utah,4,8
292,HEART FAILURE & SHOCK W CC,WA,Spokane,WA - Spokane,88,19555.8,6854.48,5798.81,2,2,West,Pacific,Washington,4,9
292,HEART FAILURE & SHOCK W CC,IL,Peoria,IL - Peoria,25,14584.88,6709.8,5411.12,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,MO,St. Louis,MO - St. Louis,77,19051.57,5721.32,4871.38,4,6,Midwest,Midwest-West North Central,Missouri,2,4
292,HEART FAILURE & SHOCK W CC,IL,Joliet,IL - Joliet,167,30775.95,6104.65,5239.94,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Melrose Park,IL - Melrose Park,83,30436.2,6438.08,5256.48,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Evanston,IL - Evanston,396,29499.95,6864.92,5534.21,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,MO,St. Louis,MO - St. Louis,66,17917.11,5659.65,5035.65,4,6,Midwest,Midwest-West North Central,Missouri,2,4
292,HEART FAILURE & SHOCK W CC,IL,Rockford,IL - Rockford,29,29159.52,6541.31,5676.97,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Peoria,IL - Peoria,29,18656.55,4908.45,4045.55,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Springfield,IL - Springfield,130,23676.32,6795.54,5459.69,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Chicago,IL - Chicago,56,32334.09,12125.95,10368.66,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Springfield,IL - Springfield,15,13381.0,7253.6,6581.6,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Peoria,IL - Peoria,25,20222.32,6884.8,6130.56,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Aurora,IL - Aurora,74,38662.55,7569.77,5844.36,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Elgin,IL - Elgin,106,31942.62,6704.24,5351.18,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Springfield,IL - Springfield,79,13949.35,5563.61,4887.27,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,MO,St. Louis,MO - St. Louis,86,16976.45,5965.28,5329.33,4,6,Midwest,Midwest-West North Central,Missouri,2,4
292,HEART FAILURE & SHOCK W CC,IL,Peoria,IL - Peoria,38,45749.24,5701.79,4788.42,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Rockford,IL - Rockford,53,25786.89,6110.28,5289.83,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,MO,St. Louis,MO - St. Louis,49,16910.0,5813.94,4973.14,4,6,Midwest,Midwest-West North Central,Missouri,2,4
292,HEART FAILURE & SHOCK W CC,IL,Chicago,IL - Chicago,78,28960.83,7194.51,5872.74,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Melrose Park,IL - Melrose Park,70,35546.7,9035.47,7306.63,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,MO,St. Louis,MO - St. Louis,16,29431.13,5519.69,4816.44,4,6,Midwest,Midwest-West North Central,Missouri,2,4
292,HEART FAILURE & SHOCK W CC,IL,Springfield,IL - Springfield,104,20627.88,6971.6,6046.41,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Melrose Park,IL - Melrose Park,72,20216.03,8182.85,6643.04,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Springfield,IL - Springfield,24,22388.96,6426.88,5748.04,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,MO,St. Louis,MO - St. Louis,33,11376.33,6290.15,5758.27,4,6,Midwest,Midwest-West North Central,Missouri,2,4
292,HEART FAILURE & SHOCK W CC,IL,Blue Island,IL - Blue Island,192,28353.11,6244.36,4731.19,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Melrose Park,IL - Melrose Park,52,18160.4,6360.67,5409.94,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Peoria,IL - Peoria,39,23680.18,7633.49,6796.87,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Melrose Park,IL - Melrose Park,86,21330.19,6190.14,4798.87,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Peoria,IL - Peoria,115,29468.5,6766.58,5999.06,4,7,Midwest,Midwest-East North Central,Illinois,2,3
292,HEART FAILURE & SHOCK W CC,IL,Chicago,IL - Chicago,16,28919.13,8891.69,7949.44,4,7,Midwest,Midwest-East North Central,Illinois,2,3
